event,timestamp,elapsed_ms,window,window_seq,window_sec,threshold_pct,remote_threshold_pct,min_pte_updates,min_hint_faults,sample_pct,pte_delta,hit_delta,refault_delta,lost_delta,remote_refault_delta,hint_fault_delta,estimated_local_accesses,estimated_remote_accesses,access_pct,fast_pct,remote_ratio_pct,local_consecutive,remote_consecutive,reenable_consecutive,consecutive,stop_reason,controller_state,node_balancing
start,2026-05-28T07:15:23Z,1,0,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:15:28Z,5003,1,1,5.0,80.0,20.0,1,1,10.00,0,0,0,0,3,3,30.00,0.00,0.00,0.00,0.00,0,1,0,0,,on,2
sample,2026-05-28T07:15:33Z,10006,2,2,5.0,80.0,20.0,1,1,10.00,3,3,3,0,3,3,30.00,0.00,100.00,100.00,0.00,1,2,0,1,,on,2
sample,2026-05-28T07:15:38Z,15009,3,3,5.0,80.0,20.0,1,1,10.00,3,3,3,0,3,3,30.00,0.00,100.00,100.00,0.00,2,3,0,2,,on,2
off,2026-05-28T07:15:38Z,15009,3,3,5.0,80.0,20.0,1,1,10.00,3,3,3,0,3,3,30.00,0.00,100.00,100.00,0.00,2,3,0,2,remote_ratio,off,0
sample,2026-05-28T07:15:43Z,20012,4,4,5.0,80.0,20.0,1,1,10.00,3,3,3,0,1,1,10.00,0.00,100.00,100.00,0.00,1,1,0,1,,off,0
sample,2026-05-28T07:15:48Z,25014,5,5,5.0,80.0,20.0,1,1,10.00,1,1,1,0,0,0,0.00,0.00,100.00,100.00,0.00,2,0,0,2,,off,0
sample,2026-05-28T07:15:53Z,30017,6,6,5.0,80.0,20.0,1,1,10.00,0,0,0,0,3,3,30.00,0.00,0.00,0.00,0.00,0,1,0,0,,off,0
sample,2026-05-28T07:15:58Z,35020,7,7,5.0,80.0,20.0,1,1,10.00,4,3,3,0,0,0,0.00,0.00,75.00,75.00,0.00,0,0,1,0,,off,0
sample,2026-05-28T07:16:03Z,40022,8,8,5.0,80.0,20.0,1,1,10.00,2,0,1,0,1,1,10.00,0.00,50.00,0.00,0.00,0,1,0,0,,off,0
sample,2026-05-28T07:16:08Z,45024,9,9,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,,off,0
sample,2026-05-28T07:16:13Z,50027,10,10,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,,off,0
on,2026-05-28T07:16:13Z,50027,10,10,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,reenable,on,2
sample,2026-05-28T07:16:18Z,55030,11,11,5.0,80.0,20.0,1,1,10.00,13136,0,0,0,2,2,20.00,0.00,0.00,0.00,0.00,0,1,0,0,,on,2
sample,2026-05-28T07:16:23Z,60032,12,12,5.0,80.0,20.0,1,1,10.00,53755,2,2,0,1,4,10.00,0.00,0.00,0.00,0.00,0,2,0,0,,on,2
sample,2026-05-28T07:16:28Z,65035,13,13,5.0,80.0,20.0,1,1,10.00,17790,1,1,0,0,1,0.00,1.00,0.01,0.01,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:16:33Z,70037,14,14,5.0,80.0,20.0,1,1,10.00,1,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:16:38Z,75039,15,15,5.0,80.0,20.0,1,1,10.00,0,0,0,0,1,3,10.00,0.00,0.00,0.00,0.00,0,1,0,0,,on,2
sample,2026-05-28T07:16:43Z,80042,16,16,5.0,80.0,20.0,1,1,10.00,1,1,1,0,0,0,0.00,0.00,100.00,100.00,0.00,1,0,0,1,,on,2
sample,2026-05-28T07:16:48Z,85044,17,17,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,1,0.00,1.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:16:53Z,90047,18,18,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:16:58Z,95049,19,19,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,2,0.00,2.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:17:03Z,100051,20,20,5.0,80.0,20.0,1,1,10.00,0,0,0,0,1,1,10.00,0.00,0.00,0.00,0.00,0,1,0,0,,on,2
sample,2026-05-28T07:17:08Z,105054,21,21,5.0,80.0,20.0,1,1,10.00,1,1,1,0,0,0,0.00,0.00,100.00,100.00,0.00,1,0,0,1,,on,2
sample,2026-05-28T07:17:13Z,110056,22,22,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:17:18Z,115059,23,23,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:17:23Z,120061,24,24,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:17:28Z,125063,25,25,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:17:33Z,130066,26,26,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:17:38Z,135068,27,27,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:17:43Z,140070,28,28,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,4,0.00,4.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:17:48Z,145073,29,29,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,1,0.00,1.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:17:53Z,150075,30,30,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:17:58Z,155077,31,31,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,2,0.00,2.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:18:03Z,160080,32,32,5.0,80.0,20.0,1,1,10.00,0,0,0,0,1,1,10.00,0.00,0.00,0.00,0.00,0,1,0,0,,on,2
sample,2026-05-28T07:18:08Z,165082,33,33,5.0,80.0,20.0,1,1,10.00,1,1,1,0,0,0,0.00,0.00,100.00,100.00,0.00,1,0,0,1,,on,2
sample,2026-05-28T07:18:13Z,170085,34,34,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:18:18Z,175087,35,35,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:18:23Z,180089,36,36,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:18:28Z,185092,37,37,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:18:33Z,190094,38,38,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:18:38Z,195096,39,39,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,,on,2
sample,2026-05-28T07:18:43Z,200099,40,40,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,3,0.00,3.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:18:48Z,205101,41,41,5.0,80.0,20.0,1,1,10.00,0,0,0,0,6505,501867,65050.00,436817.00,0.00,0.00,87.04,0,0,0,0,,on,2
sample,2026-05-28T07:18:53Z,210104,42,42,5.0,80.0,20.0,1,1,10.00,1,1,1,0,78176,443583,781760.00,0.00,100.00,100.00,0.00,1,1,0,1,,on,2
sample,2026-05-28T07:18:58Z,215106,43,43,5.0,80.0,20.0,1,1,10.00,1,0,0,0,0,2148259,0.00,2148259.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:19:03Z,220109,44,44,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,1971161,0.00,1971161.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:19:08Z,225111,45,45,5.0,80.0,20.0,1,1,10.00,0,0,0,0,2375,1667872,23750.00,1644122.00,0.00,0.00,98.58,0,0,0,0,,on,2
sample,2026-05-28T07:19:13Z,230114,46,46,5.0,80.0,20.0,1,1,10.00,10400,2709,10400,0,17679,30527,176790.00,0.00,100.00,26.05,0.00,1,1,0,1,,on,2
sample,2026-05-28T07:19:18Z,235117,47,47,5.0,80.0,20.0,1,1,10.00,59035,0,44251,0,34581,48299,345810.00,0.00,74.96,0.00,0.00,0,2,0,0,,on,2
sample,2026-05-28T07:19:23Z,240119,48,48,5.0,80.0,20.0,1,1,10.00,8740,0,8740,0,23518,148224,235180.00,0.00,100.00,0.00,0.00,1,3,0,1,,on,2
off,2026-05-28T07:19:23Z,240120,48,48,5.0,80.0,20.0,1,1,10.00,8740,0,8740,0,23518,148224,235180.00,0.00,100.00,0.00,0.00,1,3,0,1,remote_ratio,off,0
sample,2026-05-28T07:19:28Z,245122,49,49,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,70,0.00,70.00,0.00,0.00,100.00,0,0,1,0,,off,0
sample,2026-05-28T07:19:33Z,250125,50,50,5.0,80.0,20.0,1,1,10.00,53802,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,,off,0
on,2026-05-28T07:19:33Z,250125,50,50,5.0,80.0,20.0,1,1,10.00,53802,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,reenable,on,2
sample,2026-05-28T07:19:38Z,255128,51,51,5.0,80.0,20.0,1,1,10.00,30879,0,0,0,0,321163,0.00,321163.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:19:43Z,260131,52,52,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,317471,0.00,317471.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:19:48Z,265133,53,53,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,332412,0.00,332412.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:19:53Z,270136,54,54,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,331567,0.00,331567.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:19:58Z,275139,55,55,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,332703,0.00,332703.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:20:03Z,280141,56,56,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,344975,0.00,344975.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:20:08Z,285144,57,57,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,385464,0.00,385464.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:20:13Z,290147,58,58,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,534821,0.00,534821.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:20:18Z,295149,59,59,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,907661,0.00,907661.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:20:23Z,300152,60,60,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,870554,0.00,870554.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:20:28Z,305154,61,61,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,754214,0.00,754214.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:20:33Z,310157,62,62,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,474073,0.00,474073.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:20:38Z,315160,63,63,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,353595,0.00,353595.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:20:43Z,320162,64,64,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,349471,0.00,349471.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:20:48Z,325165,65,65,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,352525,0.00,352525.00,0.00,0.00,100.00,0,0,0,0,,on,2
sample,2026-05-28T07:20:53Z,330167,66,66,5.0,80.0,20.0,1,1,10.00,0,0,0,0,0,358734,0.00,358734.00,0.00,0.00,100.00,0,0,0,0,,on,2
